method,threshold,binary_dice,binary_iou,pred_positive_ratio,mean_channel_dice,incisors_dice,canines_dice,premolars_dice,molars_dice
Active Contour,0.5,0.3495201852291321,0.21506583130297866,0.7885880819181117,,,,,
U-Net,0.5,0.7158861432696793,0.5683857042572178,0.11724327831733518,0.4360782937537089,0.40669509799246867,0.5000688770458879,0.47275691950687365,0.4098844793283662
OralBBNet,0.5,0.8631185903895228,0.7684723953706022,0.1628805951374333,0.7558748869427785,0.7050412555723103,0.770332301830938,0.7520466568296196,0.7874969896358099
