epoch,dice_coef,loss,precision_1,recall_1,val_dice_coef,val_loss,val_precision_1,val_recall_1
0,0.11482889950275421,345.4010314941406,0.021830301731824875,0.0010138702346011996,0.08942333608865738,1840.456787109375,0.005388111341744661,0.03165487200021744
1,0.12441394478082657,330.0071105957031,0.2729246914386749,0.00705694267526269,0.11882008612155914,388.8129577636719,0.000281556393019855,8.83795801200904e-05
2,0.1747124344110489,306.53387451171875,0.6263017654418945,0.08884881436824799,0.12068847566843033,1040.0394287109375,0.005793439690023661,0.017225779592990875
3,0.3227955102920532,268.1068420410156,0.6971094608306885,0.2703215181827545,0.2956126034259796,253.34024047851562,0.7593899965286255,0.15612328052520752
4,0.45308369398117065,237.07315063476562,0.7208408117294312,0.41327017545700073,0.48730456829071045,225.93775939941406,0.6665450930595398,0.4051454961299896
5,0.5328137874603271,219.195068359375,0.7200183272361755,0.4967315196990967,0.5930578112602234,221.53489685058594,0.6391396522521973,0.5179815292358398
6,0.5709500908851624,209.1906280517578,0.7213566899299622,0.5378645658493042,0.6344807744026184,214.49468994140625,0.6345747113227844,0.565146267414093
7,0.5957921743392944,202.41717529296875,0.730255663394928,0.5532420873641968,0.5906084179878235,261.8307189941406,0.5118311047554016,0.6170961856842041
8,0.5986722707748413,198.79750061035156,0.734220564365387,0.5661458969116211,0.6449405550956726,209.0854949951172,0.6418569684028625,0.5848174095153809
9,0.6126026511192322,192.8441925048828,0.7465575933456421,0.5804815888404846,0.6495093107223511,206.87890625,0.649344801902771,0.5839351415634155
10,0.6161596179008484,189.8971710205078,0.7546613812446594,0.5886790752410889,0.6274017691612244,204.84234619140625,0.6826468110084534,0.5270156860351562
11,0.6259967088699341,186.83984375,0.760729968547821,0.5956060290336609,0.6580913662910461,200.71670532226562,0.6771813631057739,0.5829405188560486
12,0.6353707909584045,182.64706420898438,0.767134428024292,0.6110531687736511,0.6221055388450623,201.05718994140625,0.7019806504249573,0.5257896184921265
13,0.6383160352706909,180.5733642578125,0.7709248065948486,0.614499568939209,0.6691709160804749,207.92604064941406,0.6389269828796387,0.6370587348937988
14,0.6526691913604736,177.00320434570312,0.7759107947349548,0.6291341185569763,0.6225936412811279,211.89187622070312,0.6421605348587036,0.5867610573768616
15,0.6509257555007935,176.6566162109375,0.7725446224212646,0.6328666806221008,0.6649383306503296,194.01666259765625,0.6957949995994568,0.586969256401062
16,0.6501092314720154,175.7484588623047,0.7758357524871826,0.6323665976524353,0.5165931582450867,286.1264343261719,0.47108229994773865,0.5175448656082153
17,0.6547064781188965,173.45738220214844,0.7778283953666687,0.6403347253799438,0.6716557741165161,201.97171020507812,0.6496669054031372,0.6364550590515137
18,0.6652206182479858,170.6593780517578,0.7791807055473328,0.6531214714050293,0.6043116450309753,199.08615112304688,0.7254695892333984,0.47355127334594727
19,0.6608238220214844,168.8019561767578,0.7869013547897339,0.6486843824386597,0.6699999570846558,191.58013916015625,0.6992916464805603,0.5934292078018188
20,0.6528118252754211,168.68618774414062,0.7849234938621521,0.6513473987579346,0.6723785400390625,195.64071655273438,0.6752647161483765,0.6103808283805847
