epoch,dice_coef,loss,precision,recall,val_dice_coef,val_loss,val_precision,val_recall
0,0.12052566558122635,344.46307373046875,0.02767052873969078,0.0007097024936228991,0.15520833432674408,313.27105712890625,0.0,0.0
1,0.11914315074682236,333.1455383300781,0.033103182911872864,0.000229154946282506,0.15625,312.4192199707031,0.0,0.0
2,0.12101055681705475,332.1748962402344,0.026782168075442314,0.00013972504530102015,0.15625,311.9629211425781,0.0,0.0
3,0.12181040644645691,331.6448059082031,0.04669224098324776,0.00019847384828608483,0.15625,311.81036376953125,0.0,0.0
4,0.12695810198783875,330.8543395996094,0.050129298120737076,0.0001917326735565439,0.13961273431777954,310.49676513671875,0.016767581924796104,2.6963261916534975e-05
5,0.12631435692310333,329.8562927246094,0.04043298959732056,0.00016492260328959674,0.14799611270427704,308.80072021484375,0.08561643958091736,5.617346323560923e-05
6,0.12745031714439392,328.31793212890625,0.06196706369519234,0.00019096718460787088,0.14211374521255493,327.00079345703125,0.08445815742015839,0.00032805302180349827
7,0.13284216821193695,328.40814208984375,0.046589288860559464,0.00020975993538741022,0.1437424123287201,317.9368591308594,0.12040003389120102,0.0048691160045564175
8,0.12715785205364227,328.07427978515625,0.10708607733249664,0.0007112636230885983,0.1084849014878273,313.88958740234375,0.026499999687075615,7.939182978589088e-05
9,0.12280426174402237,326.8544921875,0.08052269369363785,0.00030475782114081085,0.16398927569389343,307.3543395996094,0.5443465113639832,0.010269258171319962
10,0.13091939687728882,325.5841369628906,0.22949734330177307,0.001343744108453393,0.14594076573848724,307.50299072265625,0.02243313193321228,7.789387018419802e-05
11,0.1320791095495224,324.7709045410156,0.24157187342643738,0.0017933534691110253,0.15395325422286987,306.5357971191406,0.4133968949317932,0.01234168466180563
12,0.13287869095802307,322.1652526855469,0.21222737431526184,0.0014225479681044817,0.15507818758487701,303.3604431152344,0.6839849948883057,0.003825787454843521
13,0.12633685767650604,320.27716064453125,0.2957908511161804,0.002080353908240795,0.1585666388273239,304.23626708984375,0.43058276176452637,0.007077856454998255
14,0.1292189508676529,317.17584228515625,0.3163861036300659,0.00259165046736598,0.15682488679885864,306.3023376464844,0.5529157519340515,0.0005752162542194128
15,0.13114219903945923,313.13385009765625,0.3411961793899536,0.0035924098920077085,0.1522713452577591,322.36004638671875,0.6080383658409119,0.00123506726231426
16,0.13077403604984283,308.6705322265625,0.31058746576309204,0.00576084153726697,0.13864567875862122,291.5510559082031,0.227860689163208,0.004973973147571087
17,0.12693458795547485,304.78631591796875,0.3459515869617462,0.012658532708883286,0.1292051523923874,363.0588684082031,0.02988293208181858,0.00014530202315654606
18,0.13224926590919495,298.94842529296875,0.3966377079486847,0.020824911072850227,0.1710783690214157,325.3465576171875,0.36694014072418213,0.0672980546951294
19,0.13411058485507965,295.16156005859375,0.41612762212753296,0.028736315667629242,0.1756380945444107,307.0421142578125,0.35975006222724915,0.07494813203811646
20,0.13947458565235138,289.4027099609375,0.4288763403892517,0.03456634283065796,0.16745133697986603,295.93951416015625,0.430987685918808,0.0475602000951767
21,0.1441258043050766,282.716796875,0.4530923366546631,0.05009583756327629,0.1657450646162033,269.1557312011719,0.5064796805381775,0.04662996530532837
22,0.1456230729818344,275.8153381347656,0.44923990964889526,0.0545642226934433,0.19634033739566803,265.59344482421875,0.5200960636138916,0.08140283823013306
23,0.1502309888601303,270.3851013183594,0.4545772075653076,0.061035484075546265,0.1869851052761078,265.1927795410156,0.4553864896297455,0.08439052104949951
24,0.14448043704032898,264.30865478515625,0.4413785934448242,0.06512349098920822,0.17081288993358612,251.8025665283203,0.4731801748275757,0.06298543512821198
25,0.15843933820724487,257.0384521484375,0.46106597781181335,0.09081880748271942,0.19200897216796875,253.00856018066406,0.47342315316200256,0.08077818900346756
26,0.17221562564373016,254.6665496826172,0.45731666684150696,0.09472209215164185,0.19772560894489288,259.0572814941406,0.4429522752761841,0.08095494657754898
27,0.182386115193367,250.15557861328125,0.47158509492874146,0.10993074625730515,0.2002582848072052,262.41998291015625,0.3915959894657135,0.08299142122268677
28,0.1981288194656372,246.45713806152344,0.4878368079662323,0.12064848095178604,0.2136876881122589,255.8278350830078,0.4755045175552368,0.09231621772050858
29,0.20360009372234344,244.6852569580078,0.4895845651626587,0.13467225432395935,0.23059557378292084,255.87533569335938,0.37945011258125305,0.10986106097698212
