method,threshold,binary_dice,binary_iou,pred_positive_ratio,mean_tooth_dice,incisors_dice,incisors_tooth_mean_dice,canines_dice,canines_tooth_mean_dice,premolars_dice,premolars_tooth_mean_dice,molars_dice,molars_tooth_mean_dice
Active Contour,0.5,0.35598117985099653,0.21907164862222817,0.789431095123291,,,,,,,,,
U-Net,0.1,0.8958893216667863,0.8142427168754002,0.19090646505355835,0.8283619509867721,0.8900359158169651,0.8466338004169629,0.8567116555870405,0.8467223835656066,0.8800148733564971,0.8636917787510041,0.8785064671790423,0.7802044579223245
OralBBNet,0.05,0.9059305886532855,0.8287375299047435,0.19150543212890625,0.8640347737904482,0.8903744498589169,0.8590999431980316,0.8674748006125937,0.8662189330266175,0.8737951674992962,0.849950878900383,0.9043777460219109,0.8775766709504439
