epoch,dice_coef_tf,learning_rate,loss,val_dice_coef_tf,val_loss
0,0.011435619555413723,9.999999747378752e-05,1.8728466033935547,0.011130470782518387,1.8486742973327637
1,0.011522424407303333,9.999999747378752e-05,1.8514347076416016,0.011206689290702343,1.8339483737945557
2,0.011901975609362125,9.999999747378752e-05,1.8373675346374512,0.011226162314414978,1.812930941581726
3,0.013158323243260384,9.999999747378752e-05,1.8144129514694214,0.01223446149379015,1.7902032136917114
4,0.014315144158899784,9.999999747378752e-05,1.7844963073730469,0.014707861468195915,1.7692480087280273
5,0.016826987266540527,9.999999747378752e-05,1.748004674911499,0.017256956547498703,1.7369985580444336
6,0.022805841639637947,9.999999747378752e-05,1.7087427377700806,0.026915378868579865,1.6953251361846924
7,0.0306120365858078,9.999999747378752e-05,1.6705007553100586,0.03606627881526947,1.6439697742462158
8,0.04077699035406113,9.999999747378752e-05,1.630232572555542,0.051074542105197906,1.5988705158233643
9,0.05522729083895683,9.999999747378752e-05,1.5875067710876465,0.0694771409034729,1.5493569374084473
10,0.07552889734506607,9.999999747378752e-05,1.5376583337783813,0.09980115294456482,1.486835241317749
11,0.10395913571119308,9.999999747378752e-05,1.4781291484832764,0.14174145460128784,1.4088425636291504
12,0.14729458093643188,9.999999747378752e-05,1.3967489004135132,0.18368534743785858,1.3338477611541748
13,0.20189109444618225,9.999999747378752e-05,1.3006089925765991,0.2579921782016754,1.207047462463379
14,0.254766583442688,9.999999747378752e-05,1.2107161283493042,0.33557623624801636,1.07652747631073
15,0.32730528712272644,9.999999747378752e-05,1.0898964405059814,0.40634292364120483,0.9605541229248047
16,0.3761310279369354,9.999999747378752e-05,1.009490966796875,0.4358793795108795,0.9108734130859375
17,0.43234172463417053,9.999999747378752e-05,0.917219340801239,0.5168632864952087,0.7798928022384644
18,0.4925879240036011,9.999999747378752e-05,0.8192266821861267,0.5425037145614624,0.738804817199707
19,0.5368563532829285,9.999999747378752e-05,0.7475776076316833,0.5725261569023132,0.6899024844169617
20,0.5846700668334961,9.999999747378752e-05,0.6700289845466614,0.6317911148071289,0.5939502716064453
21,0.6103935241699219,9.999999747378752e-05,0.6285607218742371,0.6560682058334351,0.5550506114959717
