method,threshold,binary_dice,binary_iou,pred_positive_ratio,mean_channel_dice,incisors_dice,canines_dice,premolars_dice,molars_dice
Active Contour,0.5,0.35598117985099653,0.21907164862222817,0.789431095123291,,,,,
U-Net,0.49999999999999994,0.6656506588180123,0.5066635850424028,0.11201345920562744,0.07889916398566264,0.0373797950185103,0.045082386389475745,0.036253449295037835,0.14617188900356362
OralBBNet,0.44999999999999996,0.8031766119112846,0.6760644248128805,0.19454419612884521,0.17039513644449564,0.168612533468141,0.15985021437790334,0.1570351519768793,0.18400484232944841
