epoch,dice_coef_tf,learning_rate,loss,val_dice_coef_tf,val_loss
0,0.01148601807653904,9.999999747378752e-05,1.8713055849075317,0.011196289211511612,1.842734694480896
1,0.01227748766541481,9.999999747378752e-05,1.8484323024749756,0.011325247585773468,1.8263393640518188
2,0.01420296635478735,9.999999747378752e-05,1.8303648233413696,0.01228138618171215,1.8042893409729004
3,0.01635790430009365,9.999999747378752e-05,1.804047703742981,0.01518512424081564,1.7727901935577393
4,0.019028645008802414,9.999999747378752e-05,1.7708678245544434,0.02035503089427948,1.7401238679885864
5,0.02250739000737667,9.999999747378752e-05,1.732548713684082,0.023924358189105988,1.6952555179595947
6,0.027503766119480133,9.999999747378752e-05,1.6938403844833374,0.019366294145584106,2.455575942993164
7,0.03535057604312897,9.999999747378752e-05,1.6534311771392822,0.040399037301540375,1.625316858291626
8,0.045652683824300766,9.999999747378752e-05,1.6149123907089233,0.05426863953471184,1.594115972518921
9,0.06258008629083633,9.999999747378752e-05,1.5690034627914429,0.07597437500953674,1.5490119457244873
10,0.08990245312452316,9.999999747378752e-05,1.510093092918396,0.11140306293964386,1.4759600162506104
11,0.12629182636737823,9.999999747378752e-05,1.4404865503311157,0.1684650182723999,1.3511319160461426
12,0.1788821667432785,9.999999747378752e-05,1.3450149297714233,0.24549393355846405,1.2254643440246582
13,0.2455570250749588,9.999999747378752e-05,1.2289471626281738,0.13700729608535767,1.5826151371002197
14,0.31318020820617676,9.999999747378752e-05,1.1146830320358276,0.23115167021751404,1.3339173793792725
15,0.39165839552879333,9.999999747378752e-05,0.9846190214157104,0.4655943512916565,0.8618637919425964
16,0.4471655786037445,9.999999747378752e-05,0.8938582539558411,0.40569067001342773,0.9875394105911255
17,0.49726602435112,9.999999747378752e-05,0.8125823140144348,0.4664713740348816,0.8730305433273315
18,0.5466379523277283,9.999999747378752e-05,0.732315182685852,0.5905113220214844,0.6612953543663025
19,0.5801497101783752,9.999999747378752e-05,0.6780698895454407,0.6275428533554077,0.6018834710121155
20,0.5961727499961853,9.999999747378752e-05,0.6523033976554871,0.6537960767745972,0.5590630769729614
21,0.6076881885528564,9.999999747378752e-05,0.6341029405593872,0.6720529794692993,0.5299334526062012
22,0.6389080286026001,9.999999747378752e-05,0.5835002660751343,0.6549893617630005,0.5600447058677673
23,0.6418605446815491,9.999999747378752e-05,0.5789681077003479,0.6884862184524536,0.5037461519241333
24,0.6651148200035095,9.999999747378752e-05,0.5412935614585876,0.6964868307113647,0.49090999364852905
25,0.6649467945098877,9.999999747378752e-05,0.5417736768722534,0.701352596282959,0.4834402799606323
26,0.6935960650444031,9.999999747378752e-05,0.49546337127685547,0.7079935073852539,0.4726203680038452
27,0.6930105686187744,9.999999747378752e-05,0.4967527985572815,0.7110601663589478,0.46765315532684326
28,0.7106344699859619,9.999999747378752e-05,0.46821266412734985,0.7203629016876221,0.45271676778793335
29,0.7076650857925415,9.999999747378752e-05,0.47323814034461975,0.6957346796989441,0.49367350339889526
30,0.714705765247345,9.999999747378752e-05,0.4618331491947174,0.7147403955459595,0.46306419372558594
31,0.7269667983055115,9.999999747378752e-05,0.4422023594379425,0.7278596758842468,0.44157540798187256
32,0.7232765555381775,9.999999747378752e-05,0.4480805993080139,0.7382540702819824,0.4242976903915405
33,0.7401187419891357,9.999999747378752e-05,0.42094969749450684,0.7478238344192505,0.40893012285232544
34,0.7401310205459595,9.999999747378752e-05,0.4210338592529297,0.7325766086578369,0.4339870810508728
35,0.751526415348053,9.999999747378752e-05,0.40247806906700134,0.7489327192306519,0.40695375204086304
36,0.7561389207839966,9.999999747378752e-05,0.39501115679740906,0.756195068359375,0.39526987075805664
37,0.7625725269317627,9.999999747378752e-05,0.384811669588089,0.7553119659423828,0.39746975898742676
38,0.7619675993919373,9.999999747378752e-05,0.3857651352882385,0.7498520016670227,0.40591761469841003
39,0.7758830785751343,9.999999747378752e-05,0.3633391559123993,0.7711511850357056,0.371606707572937
40,0.7824388742446899,9.999999747378752e-05,0.3525470495223999,0.7735174894332886,0.3676697909832001
41,0.7839658856391907,9.999999747378752e-05,0.350211501121521,0.7698988914489746,0.37339431047439575
42,0.7907049655914307,9.999999747378752e-05,0.33922016620635986,0.7812262773513794,0.3550702929496765
43,0.7997772693634033,9.999999747378752e-05,0.3246416449546814,0.7897188663482666,0.3412822484970093
44,0.8040949106216431,9.999999747378752e-05,0.3176242411136627,0.7736154794692993,0.36862948536872864
45,0.797498345375061,9.999999747378752e-05,0.32818084955215454,0.8039349317550659,0.3184818625450134
46,0.8200339674949646,9.999999747378752e-05,0.2919062077999115,0.8043583631515503,0.31766384840011597
47,0.8176434636116028,9.999999747378752e-05,0.2958664000034332,0.7895194292068481,0.3423527479171753
48,0.8272136449813843,9.999999747378752e-05,0.2803006172180176,0.8130507469177246,0.3037569224834442
49,0.8332349061965942,9.999999747378752e-05,0.2706087529659271,0.8068206906318665,0.31384390592575073
50,0.8349791765213013,9.999999747378752e-05,0.2677319049835205,0.810306191444397,0.3082521855831146
51,0.8405572772026062,9.999999747378752e-05,0.2587493360042572,0.7979905605316162,0.32848477363586426
52,0.8457182049751282,9.999999747378752e-05,0.25048699975013733,0.8149700164794922,0.3008992373943329
53,0.8486917018890381,9.999999747378752e-05,0.24572037160396576,0.8241980075836182,0.2857361137866974
54,0.8515536189079285,9.999999747378752e-05,0.2409856617450714,0.8229062557220459,0.28793442249298096
55,0.8551828265190125,9.999999747378752e-05,0.23512734472751617,0.8268704414367676,0.28160345554351807
56,0.857885479927063,9.999999747378752e-05,0.23088248074054718,0.8301050662994385,0.2763083577156067
57,0.8622801899909973,9.999999747378752e-05,0.22368842363357544,0.8321306109428406,0.2731795310974121
58,0.8627879619598389,9.999999747378752e-05,0.2230643779039383,0.8309943675994873,0.2749215066432953
59,0.870987057685852,9.999999747378752e-05,0.209647536277771,0.8285584449768066,0.2789916694164276
