method,threshold,binary_dice,binary_iou,pred_positive_ratio,mean_channel_dice,incisors_dice,canines_dice,premolars_dice,molars_dice
Active Contour,0.5,0.35598117985099653,0.21907164862222817,0.789431095123291,,,,,
U-Net,0.49999999999999994,0.8669658503939277,0.7676574901918208,0.21003228425979614,0.2818574201808266,0.17765464146790003,0.2865539036532871,0.3174651058896207,0.32571013462128734
OralBBNet,0.35,0.8508314554468155,0.7429365712184413,0.20311516523361206,0.2676870302853709,0.28640218270166934,0.2531317963657747,0.2618991638325662,0.26398938649633114
