method,threshold,binary_dice,binary_iou,pred_positive_ratio,mean_tooth_dice,incisors_dice,incisors_tooth_mean_dice,canines_dice,canines_tooth_mean_dice,premolars_dice,premolars_tooth_mean_dice,molars_dice,molars_tooth_mean_dice
Active Contour,0.5,0.35598117985099653,0.21907164862222817,0.789431095123291,,,,,,,,,
U-Net,0.5,0.8944025875466843,0.8108088148719175,0.18060946464538574,0.8261227800503338,0.8136298708127917,0.7442168384961892,0.8630965211324186,0.8537416904884928,0.8837972538400402,0.8657107099673059,0.9074990232583426,0.8498860953922509
OralBBNet,0.5,0.9073054710262249,0.831164763063767,0.18682557344436646,0.8709067648267439,0.8932881305259552,0.8663348926517053,0.869169503480591,0.8676126444986775,0.8804036471615582,0.8648527203092508,0.9072580569860571,0.880351782924003
