method,threshold,binary_dice,binary_iou,pred_positive_ratio,mean_tooth_dice,incisors_dice,incisors_tooth_mean_dice,canines_dice,canines_tooth_mean_dice,premolars_dice,premolars_tooth_mean_dice,molars_dice,molars_tooth_mean_dice
Active Contour,0.5,0.35598117985099653,0.21907164862222817,0.789431095123291,,,,,,,,,
U-Net tuned,0.05,0.8961918966730675,0.8134083115591353,0.1885770559310913,0.8266438279436454,0.8209492907419248,0.7468893181141674,0.8644887962364903,0.8558499859740761,0.8807396076643326,0.864275288584646,0.9074601801944786,0.8495419746619425
OralBBNet tuned,0.05,0.9090632910146792,0.8339844394204575,0.1958014965057373,0.8713808866596783,0.8954329593318844,0.8677280570726741,0.8720911376680193,0.871815919511474,0.8787843020178435,0.8652977878361988,0.9065666841190048,0.8786305063961832
