epoch,dice_coef_tf,learning_rate,loss,val_dice_coef_tf,val_loss
0,0.011441018432378769,9.999999747378752e-05,1.872767686843872,0.011137299239635468,1.8481907844543457
1,0.011598204262554646,9.999999747378752e-05,1.8512122631072998,0.011204807087779045,1.8302061557769775
2,0.012366469949483871,9.999999747378752e-05,1.8369650840759277,0.011285447515547276,1.8072000741958618
3,0.013466300442814827,9.999999747378752e-05,1.8142682313919067,0.011665115132927895,1.784917950630188
4,0.01522299088537693,9.999999747378752e-05,1.7835719585418701,0.014842120930552483,1.7570257186889648
5,0.01805608533322811,9.999999747378752e-05,1.7465627193450928,0.0210011787712574,1.7296831607818604
6,0.02442479319870472,9.999999747378752e-05,1.7066296339035034,0.03046012483537197,1.6840811967849731
7,0.03295033052563667,9.999999747378752e-05,1.6663236618041992,0.04107335954904556,1.6378018856048584
8,0.04356144368648529,9.999999747378752e-05,1.625383973121643,0.04817325994372368,1.626188039779663
9,0.057974763214588165,9.999999747378752e-05,1.5818684101104736,0.07525798678398132,1.5372910499572754
10,0.07878656685352325,9.999999747378752e-05,1.5314970016479492,0.10457202792167664,1.4769096374511719
11,0.10723614692687988,9.999999747378752e-05,1.4720474481582642,0.14016717672348022,1.409938097000122
12,0.15463551878929138,9.999999747378752e-05,1.3840930461883545,0.21098428964614868,1.2878081798553467
13,0.21590059995651245,9.999999747378752e-05,1.2770898342132568,0.2909298241138458,1.1530702114105225
14,0.2751823365688324,9.999999747378752e-05,1.1768693923950195,0.3190031051635742,1.1049022674560547
15,0.3484783172607422,9.999999747378752e-05,1.055294156074524,0.4238583445549011,0.9317331910133362
16,0.4049418270587921,9.999999747378752e-05,0.9626674652099609,0.48833462595939636,0.826148509979248
17,0.45346006751060486,9.999999747378752e-05,0.883529782295227,0.4966960847377777,0.8128078579902649
18,0.505003035068512,9.999999747378752e-05,0.7997609376907349,0.5763801336288452,0.6835286617279053
19,0.5428170561790466,9.999999747378752e-05,0.7385798096656799,0.6023352146148682,0.6422775387763977
20,0.5866050720214844,9.999999747378752e-05,0.6676276326179504,0.6178756356239319,0.6174563765525818
21,0.6160694360733032,9.999999747378752e-05,0.6200320720672607,0.6728569865226746,0.5284498929977417
22,0.6478078961372375,9.999999747378752e-05,0.5689437389373779,0.6882190108299255,0.5039441585540771
23,0.6793069243431091,9.999999747378752e-05,0.5181909203529358,0.6903247237205505,0.5005548596382141
24,0.6978012919425964,9.999999747378752e-05,0.48831167817115784,0.722480297088623,0.44898030161857605
25,0.7154250144958496,9.999999747378752e-05,0.4597671926021576,0.7259815335273743,0.4433148205280304
26,0.7362374067306519,9.999999747378752e-05,0.4263577163219452,0.7321691513061523,0.433527410030365
27,0.7561037540435791,9.999999747378752e-05,0.39430898427963257,0.7448737621307373,0.41330820322036743
28,0.7627933621406555,9.999999747378752e-05,0.3836137652397156,0.7349389791488647,0.429451048374176
29,0.777323305606842,9.999999747378752e-05,0.36028367280960083,0.7458495497703552,0.41201597452163696
30,0.7854752540588379,9.999999747378752e-05,0.3470706343650818,0.7708247900009155,0.3716263771057129
31,0.8030997514724731,9.999999747378752e-05,0.31860578060150146,0.7720986008644104,0.3693732023239136
32,0.8101946711540222,9.999999747378752e-05,0.30700746178627014,0.7697234153747559,0.3736279308795929
33,0.821264922618866,9.999999747378752e-05,0.28929707407951355,0.7661563158035278,0.3794041872024536
34,0.8296542763710022,9.999999747378752e-05,0.2757992744445801,0.7706263065338135,0.3721362054347992
35,0.8316565155982971,9.999999747378752e-05,0.272605836391449,0.7702641487121582,0.3731611371040344
36,0.8348100781440735,9.999999747378752e-05,0.26755985617637634,0.7747821807861328,0.36583611369132996
37,0.8415820002555847,9.999999747378752e-05,0.25666651129722595,0.7733765840530396,0.36815792322158813
38,0.8519579768180847,9.999999747378752e-05,0.2400146871805191,0.7730132937431335,0.3687945604324341
39,0.8558242917060852,9.999999747378752e-05,0.23379844427108765,0.7794435024261475,0.3583683967590332
40,0.8572670817375183,9.999999747378752e-05,0.2314668893814087,0.773719310760498,0.36808013916015625
41,0.8546901345252991,9.999999747378752e-05,0.23566482961177826,0.7685196399688721,0.3763941824436188
42,0.8583677411079407,9.999999747378752e-05,0.22984309494495392,0.7796303033828735,0.3584151864051819
43,0.8573936820030212,9.999999747378752e-05,0.23142780363559723,0.7879136204719543,0.34509870409965515
44,0.8646119236946106,9.999999747378752e-05,0.21982696652412415,0.7894765138626099,0.3426676392555237
45,0.8660319447517395,9.999999747378752e-05,0.2174297571182251,0.7933377027511597,0.3363967537879944
46,0.8719795942306519,9.999999747378752e-05,0.20789344608783722,0.7806683778762817,0.35711175203323364
47,0.8749160170555115,9.999999747378752e-05,0.20320351421833038,0.7813998460769653,0.35593166947364807
48,0.8738939762115479,9.999999747378752e-05,0.20488552749156952,0.7825535535812378,0.35401010513305664
49,0.8768671154975891,9.999999747378752e-05,0.20010320842266083,0.7975428104400635,0.32978180050849915
50,0.8769668340682983,9.999999747378752e-05,0.19985774159431458,0.7767316699028015,0.363730251789093
51,0.8787841796875,9.999999747378752e-05,0.19708037376403809,0.7776367664337158,0.3623647689819336
52,0.8864296674728394,9.999999747378752e-05,0.18463629484176636,0.7896164655685425,0.34275516867637634
53,0.8870788216590881,9.999999747378752e-05,0.1837082952260971,0.7822057008743286,0.3549571931362152
54,0.8822430968284607,9.999999747378752e-05,0.19148176908493042,0.780960202217102,0.3569875955581665
55,0.8896998167037964,4.999999873689376e-05,0.17937538027763367,0.7980534434318542,0.3291938304901123
56,0.8919913172721863,4.999999873689376e-05,0.1757107675075531,0.8011980056762695,0.3241433799266815
57,0.8946802616119385,4.999999873689376e-05,0.17134390771389008,0.7988667488098145,0.327951043844223
58,0.8941358327865601,4.999999873689376e-05,0.17230966687202454,0.8035751581192017,0.3203103244304657
59,0.8966004252433777,4.999999873689376e-05,0.16820117831230164,0.7977080345153809,0.32998132705688477
